%#simTime nrNodes TxPower
3600000,100,13, 0 
%#SendTime SimTime nrNodes PayloadSize nrCollisions nrTransmissions
10000,30,10774,35768
10000,3600000,200,30,36469,71814
600000,3600000,100,80,2,594
600000,3600000,100,100,4,604
600000,3600000,100,60,4,638
600000,3600000,100,40,4,651
300000,3600000,100,40,18,1258
300000,3600000,100,60,20,1203
300000,3600000,100,80,50,1217
300000,3600000,100,100,24,1185
120000,3600000,100,100,207,2970
120000,3600000,100,80,168,2979
120000,3600000,100,60,130,3027
120000,3600000,100,40,74,2946
60000,3600000,100,40,373,5955
60000,3600000,100,60,544,6130
60000,3600000,100,80,655,5970
60000,3600000,100,100,794,5984
30000,3600000,100,100,2919,11920
30000,3600000,100,80,2481,12044
30000,3600000,100,60,1910,11838
30000,3600000,100,40,1527,11972
10000,3600000,100,40,12116,36204
10000,3600000,100,60,15200,35690
10000,3600000,100,80,18139,35895
10000,3600000,100,100,20580,35755
1800000,3600000,100,100,0,173
1800000,3600000,100,100,0,208
1800000,3600000,100,40,2,183
1800000,3600000,100,60,0,171
1800000,3600000,100,60,0,198
1800000,3600000,100,60,2,193
1800000,3600000,100,60,0,210
1800000,3600000,1000,100,92,1914
1800000,3600000,1000,80,61,1999
1800000,3600000,1000,60,60,2030
1800000,3600000,1000,60,69,1943
1800000,3600000,1000,40,48,2037
1800000,3600000,1000,40,48,2011
1800000,3600000,2000,40,213,3983
1800000,3600000,2000,60,241,3961
1800000,3600000,2000,60,217,4021
1800000,3600000,2000,80,277,4004
1800000,3600000,2000,100,337,4021
600000,3600000,100,20,4,629
